epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2214.68,1.60924,1.23944,0.82441,0.58579,0.24448,0.23365,0.10816,1.69542,1.4977,0.80754,0.000411255,0.000411255,0.000411255
2,4403.14,1.60443,0.91152,0.8114,0.44142,0.41591,0.42701,0.2065,1.68953,1.2025,0.80492,0.000745958,0.000745958,0.000745958
3,6618.84,1.54957,0.82249,0.80216,0.80658,0.38932,0.47954,0.24212,1.66699,0.82121,0.798,0.00099816,0.00099816,0.00099816
4,8825.73,1.52112,0.7251,0.79726,0.49945,0.46442,0.49384,0.25471,1.45406,0.72726,0.79296,0.00087875,0.00087875,0.00087875
5,11045.8,1.43158,0.6886,0.79793,0.79042,0.45925,0.64122,0.26572,1.68697,0.75315,0.80197,0.000755,0.000755,0.000755
6,13272.9,1.40593,0.6641,0.79628,0.81282,0.47068,0.53048,0.28045,1.32906,0.65885,0.78793,0.00063125,0.00063125,0.00063125
7,15492.4,1.38495,0.63578,0.79157,0.86852,0.52044,0.58959,0.32589,1.34495,0.60681,0.78402,0.0005075,0.0005075,0.0005075
8,17719.3,1.27723,0.5875,0.7898,0.81319,0.54375,0.59442,0.34829,1.24352,0.55772,0.78512,0.00038375,0.00038375,0.00038375
9,19972.8,1.22123,0.54672,0.78554,0.87497,0.49763,0.5913,0.35362,1.20326,0.54178,0.78193,0.00026,0.00026,0.00026
10,22226.3,1.20056,0.53356,0.78551,0.86791,0.51548,0.60159,0.35969,1.17258,0.52266,0.78109,0.00013625,0.00013625,0.00013625
